Kitap Adı,Yazar Adı,Yıl
"On Being and Essence (De ente et essentia)","Thomas Aquinas","1252"
"On the Principles of Nature (De principiis naturae)","Thomas Aquinas","1252"
"Commentary on the Sentences of Peter Lombard (Scriptum super libros Sententiarum)","Thomas Aquinas","1256"
"On Truth (Quaestiones disputatae de veritate)","Thomas Aquinas","1259"
"Summa contra Gentiles","Thomas Aquinas","1264"
"On the Power of God (Quaestiones disputatae de potentia Dei)","Thomas Aquinas","1265"
"Compendium of Theology (Compendium theologiae)","Thomas Aquinas","1265"
"Summa Theologiae (Part I) (Summa theologiae, Prima pars)","Thomas Aquinas","1268"
"On Evil (Quaestiones disputatae de malo)","Thomas Aquinas","1270"
"On the Soul (Quaestio disputata de anima)","Thomas Aquinas","1269"
"On Spiritual Creatures (Quaestio disputata de spiritualibus creaturis)","Thomas Aquinas","1268"
"On the Union of the Word Incarnate (Quaestio disputata de unione Verbi incarnati)","Thomas Aquinas","1272"
"On the Virtues in General (Quaestio disputata de virtutibus in communi)","Thomas Aquinas","1271"
"On Charity (Quaestio disputata de caritate)","Thomas Aquinas","1271"
"On the Cardinal Virtues (Quaestio disputata de virtutibus cardinalibus)","Thomas Aquinas","1271"
"On Hope (Quaestio disputata de spe)","Thomas Aquinas","1271"
"Commentary on Aristotle's Physics (Sententia super Physicam)","Thomas Aquinas","1268"
"Commentary on Aristotle's Metaphysics (Sententia super Metaphysicam)","Thomas Aquinas","1272"
"Commentary on Aristotle's On the Soul (Sententia super De anima)","Thomas Aquinas","1269"
"Commentary on Aristotle's Nicomachean Ethics (Sententia super Ethicam)","Thomas Aquinas","1272"
"Commentary on Aristotle's Politics (Sententia super Politicam)","Thomas Aquinas","1272"
"Commentary on Aristotle's Posterior Analytics (Expositio super Posteriora Analytica)","Thomas Aquinas","1269"
"Commentary on Aristotle's On Interpretation (Expositio super Peri Hermeneias)","Thomas Aquinas","1270"
"Commentary on Aristotle's On the Heavens (Sententia super De caelo)","Thomas Aquinas","1272"
"Commentary on Aristotle's On Generation and Corruption (Sententia super De generatione et corruptione)","Thomas Aquinas","1272"
"Commentary on Aristotle's Meteorology (Sententia super Meteora)","Thomas Aquinas","1272"
"Commentary on the Book of Job (Expositio super Iob)","Thomas Aquinas","1265"
"Commentary on the Gospel of Matthew (Expositio super Matthaeum)","Thomas Aquinas","1269"
"Commentary on the Gospel of John (Expositio super Ioannem)","Thomas Aquinas","1270"
"Commentary on the Epistles of Saint Paul (Expositio super Epistolas Pauli)","Thomas Aquinas","1272"
"Commentary on the Psalms (Expositio super Psalmos)","Thomas Aquinas","1273"
"Commentary on the Book of Isaiah (Expositio super Isaiam)","Thomas Aquinas","1252"
"Commentary on the Book of Jeremiah (Expositio super Ieremiam)","Thomas Aquinas","1252"
"Commentary on the Book of Lamentations (Expositio super Threnos)","Thomas Aquinas","1252"
"On the Lord's Prayer (Expositio orationis dominicae)","Thomas Aquinas","1273"
"On the Apostles' Creed (Expositio symboli apostolorum)","Thomas Aquinas","1273"
"On the Two Precepts of Charity and the Ten Commandments (Expositio in duo praecepta caritatis et in decem legis praecepta)","Thomas Aquinas","1273"
"On the Angelic Salutation (Expositio salutationis angelicae)","Thomas Aquinas","1273"
"On the Perfection of the Spiritual Life (De perfectione spiritualis vitae)","Thomas Aquinas","1269"
"Against the Adversaries of the Worship of God and Religion (Contra impugnantes Dei cultum et religionem)","Thomas Aquinas","1256"
"On Kingship, to the King of Cyprus (De regimine principum / De regno ad regem Cypri)","Thomas Aquinas","1267"
"On the Eternity of the World (De aeternitate mundi)","Thomas Aquinas","1271"
"On the Unity of the Intellect, Against the Averroists (De unitate intellectus contra Averroistas)","Thomas Aquinas","1270"
"On the Reasons for the Faith (De rationibus fidei)","Thomas Aquinas","1265"
"On the Articles of the Faith and the Sacraments of the Church (De articulis fidei et ecclesiae sacramentis)","Thomas Aquinas","1261"
"On the Mixing of the Elements (De mixtione elementorum)","Thomas Aquinas","1273"
"On the Motion of the Heart (De motu cordis)","Thomas Aquinas","1273"
"On Keeping Secrets (De secreto)","Thomas Aquinas","1269"
"Letter to the Duchess of Brabant (On the Government of Jews) (Epistola ad ducissam Brabantiae)","Thomas Aquinas","1271"
"Letter to the Abbot of Monte Cassino (Epistola ad abbatem Casinensem)","Thomas Aquinas","1274"
"Response to the Master General of the Dominicans (Responsio ad magistrum Ioannem de Vercellis)","Thomas Aquinas","1271"
